,具体地址,单价,建造年份,总价,房型,标题,楼层,链接,面积
22,南昌万科粹叠园  新建-九龙湖新区-三清山大道555号,20694元/m²,2015年建造,298,4室2厅,好房推荐！万科翠叠园 精装修带车位，拎包入住 地铁口双学位,低层(共32层),https://nc.anjuke.com/prop/view/A1584953965?from=filter&spread=filtersearch_t&position=23&kwtype=filter&now_time=1550802593,144m²
23,绿地国际博览城藏珑  新建-九龙湖新区-九龙大道1177号,15455元/m²,2010年建造,170,3室2厅,"绿地博览城，结婚精装,家电家具全带，装修花30万，产证过户",高层(共32层),https://nc.anjuke.com/prop/view/A1585404403?from=filter&spread=filtersearch_t&position=24&kwtype=filter&now_time=1550802593,110m²
24,绿地国际博览城君珑  新建-九龙湖新区-九龙大道1177号,15727元/m²,2015年建造,173,3室2厅,追梦！2019年换套房子，换个心情，这套就不错，绿地大三房,中层(共32层),https://nc.anjuke.com/prop/view/A1581021127?from=filter&spread=filtersearch_t&position=25&kwtype=filter&now_time=1550802593,110m²
25,绿地国际博览城君珑  新建-九龙湖新区-九龙大道1177号,15000元/m²,2014年建造,120,2室2厅,绿地国际博览城一期，房东置换，低.价出售,高层(共32层),https://nc.anjuke.com/prop/view/A1586833641?from=filter&spread=filtersearch_t&position=26&kwtype=filter&now_time=1550802593,80m²
26,绿地国际博览城博君  新建-九龙湖新区-九龙大道1177号,13739元/m²,2016年建造,158,3室2厅,急急急 绿博二期房源业主急卖低于市场价三十万 手快有,共1层,https://nc.anjuke.com/prop/view/A1586892332?from=filter&spread=filtersearch_t&position=27&kwtype=filter&now_time=1550802593,115m²
27,绿地国际博览城  新建-九龙湖新区-九龙大道1177号,14777元/m²,2015年建造,141,3室2厅,绿地国博城小3房，性价比高，视野采光无挡，真实在售,高层(共32层),https://nc.anjuke.com/prop/view/A1581649222?from=filter&spread=filtersearch_t&position=28&kwtype=filter&now_time=1550802593,95m²
28,绿地国际博览城  新建-九龙湖新区-九龙大道1177号,14253元/m²,2016年建造,136,3室2厅,绿地国博城 急售 视野好 急售！ 房东小孩出国留学发展，急售,中层(共30层),https://nc.anjuke.com/prop/view/A1580739427?from=filter&spread=filtersearch_t&position=29&kwtype=filter&now_time=1550802593,95m²
29,绿地国际博览城藏珑  新建-九龙湖新区-九龙大道1177号,13600元/m²,2014年建造,170,3室2厅,绿地国际博览城一期，170万，124平通透大三房，三个阳台，,低层(共27层),https://nc.anjuke.com/prop/view/A1586436183?from=filter&spread=filtersearch_t&position=30&kwtype=filter&now_time=1550802593,125m²
30,绿地悦城D区  新建-九龙湖新区-西站大街,15933元/m²,2015年建造,228,3室2厅,绿地悦城 读南师附小外国语 地铁旁 好楼层 产证在手 急售,高层(共18层),https://nc.anjuke.com/prop/view/A1587105327?from=filter&spread=filtersearch_t&position=31&kwtype=filter&now_time=1550802593,143m²
31,绿地国际博览城博睿  新建-九龙湖新区-九龙大道1177号,13565元/m²,2015年建造,156,3室2厅,万达城粹叠园旁 视野无档 采光很好 还有车位的江景房,高层(共32层),https://nc.anjuke.com/prop/view/A1578457744?from=filter&spread=filtersearch_t&position=32&kwtype=filter&now_time=1550802593,115m²
32,"九龙郡  新建-九龙湖新区-圭峰大道,近西站大街",10000元/m²,2018年建造,36,1室1厅,西站旁精装公寓 高端社区纵享奢华，肆意生活，风景宜人,中层(共29层),https://nc.anjuke.com/prop/view/A1588404735?from=filter&spread=filtersearch_t&position=33&kwtype=filter&now_time=1550802593,36m²
33,恒天时尚中心  新建-九龙湖新区-赣江南大道1566号,9048元/m²,2017年建造,38,1室1厅,绿地双层江景公寓单价9000起来电减6万地铁口省府旁,中层(共18层),https://nc.anjuke.com/prop/view/A1588428914?from=filter&spread=filtersearch_t&position=34&kwtype=filter&now_time=1550802593,42m²
34,绿地国际博览城  新建-九龙湖新区-九龙大道1177号,12128元/m²,2018年建造,57,1室1厅,绿地国博城 一手新房  单价11000 层高4.2 双层复试,中层(共23层),https://nc.anjuke.com/prop/view/A1578252622?from=filter&spread=filtersearch_t&position=35&kwtype=filter&now_time=1550802593,47m²
35,绿地国际博览城  新建-九龙湖新区-九龙大道1177号,12000元/m²,2018年建造,60,1室2厅,九龙湖 不限购 一线江景LOFT公寓。。,低层(共30层),https://nc.anjuke.com/prop/view/A1578251824?from=filter&spread=filtersearch_t&position=36&kwtype=filter&now_time=1550802593,50m²
36,绿地国际博览城御珑  新建-九龙湖新区-九龙大道1177号,15789元/m²,2015年建造,150,3室2厅,国博城一期 房东精装修出售 卖毛胚价！！钥匙在手 随时看房！,中层(共32层),https://nc.anjuke.com/prop/view/A1582445481?from=filter&spread=filtersearch_t&position=37&kwtype=filter&now_time=1550802593,95m²
37,绿地国际博览城博君  新建-九龙湖新区-九龙大道1177号,13793元/m²,2015年建造,160,3室2厅,绿地国际博览城二期 116平房东诚心出售 单价13800！！,低层(共32层),https://nc.anjuke.com/prop/view/A1589264683?from=filter&spread=filtersearch_t&position=38&kwtype=filter&now_time=1550802593,116m²
38,绿地国际博览城  新建-九龙湖新区-九龙大道1177号,14148元/m²,2016年建造,135,3室2厅,九龙湖绿地国博 不限购临西站 采光好出门地铁名校育新房东诚售,低层(共32层),https://nc.anjuke.com/prop/view/A1588616423?from=filter&spread=filtersearch_t&position=39&kwtype=filter&now_time=1550802593,95m²
39,"九龙郡  新建-九龙湖新区-圭峰大道,近西站大街",10000元/m²,2018年建造,38,2室1厅,内部特价 西客站300米 妇幼保健医院旁 2房2厅1卫,低层(共23层),https://nc.anjuke.com/prop/view/A1587141158?from=filter&spread=filtersearch_t&position=40&kwtype=filter&now_time=1550802593,38m²
40,绿地国际博览城藏珑  新建-九龙湖新区-九龙大道1177号,13895元/m²,2016年建造,132,3室2厅,实拍实价 绿地国际博览城 大气三房 房东资金链断裂 诚心急售,中层(共30层),https://nc.anjuke.com/prop/view/A1587519560?from=filter&spread=filtersearch_t&position=41&kwtype=filter&now_time=1550802593,95m²
41,绿地国际博览城玖玺  新建-九龙湖新区-九龙大道1177号,13636元/m²,2016年建造,150,3室2厅,西客站旁 国际博览城 通透舒适三房 近地铁口 读育新名 校,低层(共32层),https://nc.anjuke.com/prop/view/A1587181423?from=filter&spread=filtersearch_t&position=42&kwtype=filter&now_time=1550802593,110m²
42,绿地国际博览城御珑  新建-九龙湖新区-九龙大道1177号,14211元/m²,2014年建造,135,3室2厅,房东换房诚售 绿地国际博览城御珑 小三房 中上楼层视野采光好,中层(共31层),https://nc.anjuke.com/prop/view/A1587522522?from=filter&spread=filtersearch_t&position=43&kwtype=filter&now_time=1550802593,95m²
43,绿地国际博览城藏珑  新建-九龙湖新区-九龙大道1177号,16000元/m²,2016年建造,176,3室2厅,绿地国博自住30万豪华装修三房，毛胚价出售，东西都送拎包入住,高层(共32层),https://nc.anjuke.com/prop/view/A1588747016?from=filter&spread=filtersearch_t&position=44&kwtype=filter&now_time=1550802593,110m²
44,绿地国际博览城  新建-九龙湖新区-九龙大道1177号,14254元/m²,2015年建造,156,3室2厅,绿地国际博览城 楼下地铁口通透三房 房东看中一套别墅缺钱诚售,中层(共32层),https://nc.anjuke.com/prop/view/A1587519755?from=filter&spread=filtersearch_t&position=45&kwtype=filter&now_time=1550802593,109m²
45,绿地国际博览城卧珑  新建-九龙湖新区-九龙大道1177号,13818元/m²,2014年建造,152,3室2厅,走过别错过 绿地国际博览城卧珑 房东换房急售 南北通透三房,高层(共32层),https://nc.anjuke.com/prop/view/A1587522061?from=filter&spread=filtersearch_t&position=46&kwtype=filter&now_time=1550802593,110m²
46,绿地国际博览城  新建-九龙湖新区-九龙大道1177号,13100元/m²,2014年建造,125,3室2厅,绿地国博城小3房，性价比高，视野采光无挡，真实在售，有视频！,中层(共32层),https://nc.anjuke.com/prop/view/A1580311252?from=filter&spread=filtersearch_t&position=47&kwtype=filter&now_time=1550802593,95m²
47,"九龙郡  新建-九龙湖新区-圭峰大道,近西站大街",11111元/m²,2018年建造,50,1室1厅,真正的西站旁 1手loft公寓 带阳台的公寓 看房找我,中层(共20层),https://nc.anjuke.com/prop/view/A1577434347?from=filter&spread=filtersearch_p&position=48&kwtype=filter&now_time=1550802593,45m²
48,新宇盛世广场  新建-九龙湖新区-西站大街1888号,11000元/m²,2018年建造,55,1室1厅,九龙湖西客站 地铁口旁 铂涛旗下酒店式包租包管两房零月供公寓,中层(共25层),https://nc.anjuke.com/prop/view/A1579354698?from=filter&spread=filtersearch_p&position=49&kwtype=filter&now_time=1550802593,50m²
49,恒天时尚中心  新建-九龙湖新区-赣江南大道1566号,11250元/m²,2015年建造,54,1室1厅,恒天时尚中心 一线江景 自带大型商业街 国体中心 免拥金,高层(共24层),https://nc.anjuke.com/prop/view/A1579847323?from=filter&spread=filtersearch_p&position=50&kwtype=filter&now_time=1550802593,48m²
50,绿地国际博览城君珑  新建-九龙湖新区-九龙大道1177号,17091元/m²,2015年建造,188,3室2厅,南昌二中  育新学校  绿地国际博览城 豪 装九龙湖 西客站,中层(共32层),https://nc.anjuke.com/prop/view/A1558106191?from=filter&spread=filtersearch_p&position=51&kwtype=filter&now_time=1550802593,110m²
51,绿地国际博览城君珑  新建-九龙湖新区-九龙大道1177号,13945元/m²,2014年建造,152,3室2厅,绿地国际博览城一期君珑，好的中学和小学拒绝虚假广告诚意出售,中层(共33层),https://nc.anjuke.com/prop/view/A1568673159?from=filter&spread=filtersearch_p&position=52&kwtype=filter&now_time=1550802593,109m²
52,绿地国际博览城御珑  新建-九龙湖新区-九龙大道1177号,16545元/m²,2015年建造,182,3室2厅,九龙湖西客站旁 绿地国博城 读名校育新 地铁500米 送车位,低层(共32层),https://nc.anjuke.com/prop/view/A1588176564?from=filter&spread=filtersearch_p&position=53&kwtype=filter&now_time=1550802593,110m²
53,"新力东园  新建-九龙湖新区-龙虎山大道,近上饶大道",15909元/m²,2017年建造,175,3室2厅,新力东园  新房 抵工程款 全城看房，专车 接送 特价房,中层(共33层),https://nc.anjuke.com/prop/view/A1584975170?from=filter&spread=filtersearch_p&position=54&kwtype=filter&now_time=1550802593,110m²
54,绿地国际博览城  新建-九龙湖新区-九龙大道1177号,16215元/m²,2015年建造,176,3室2厅,捡漏时间到！国博，居家豪装3房 只卖毛坯价 拎包入住 双学位,高层(共32层),https://nc.anjuke.com/prop/view/A1584866573?from=filter&spread=filtersearch_p&position=55&kwtype=filter&now_time=1550802593,108m²
55,华润凯旋门  新建-九龙湖新区-西站东街,16296元/m²,2015年建造,176,3室2厅,华润凯旋门 地铁口南北通透3房2卫 视野前后无挡 实地拍摄,高层(共32层),https://nc.anjuke.com/prop/view/A1528894388?from=filter&spread=filtersearch_p&position=56&kwtype=filter&now_time=1550802593,108m²
56,九龙湖花园一区  新建-九龙湖新区-祥云大道,14327元/m²,2015年建造,172,3室2厅,九龙湖花园省政府单位房有钥匙随时看房。阳光好视野宽广诚意卖,低层(共33层),https://nc.anjuke.com/prop/view/A1568919077?from=filter&spread=filtersearch_p&position=57&kwtype=filter&now_time=1550802593,120m²
57,绿地国际博览城卧珑  新建-九龙湖新区-九龙大道1177号,15156元/m²,2013年建造,145,3室2厅,国博三房，近地铁，博览中心，就读育新，南北通透，超强视野,低层(共32层),https://nc.anjuke.com/prop/view/A1583641841?from=filter&spread=filtersearch_p&position=58&kwtype=filter&now_time=1550802593,95m²
58,绿地国际博览城君珑  新建-九龙湖新区-九龙大道1177号,17431元/m²,2016年建造,190,3室2厅,九龙湖西客站 绿地国际博览城 房东三十万精心装修诚心出售！！,中层(共32层),https://nc.anjuke.com/prop/view/A1546180064?from=filter&spread=filtersearch_p&position=59&kwtype=filter&now_time=1550802593,109m²
59,新宇盛世广场  新建-九龙湖新区-西站大街1888号,13846元/m²,2018年建造,72,1室1厅,新宇盛世广场西站大街精装修SOHO可返祖可自住可落户,高层(共24层),https://nc.anjuke.com/prop/view/A1585150071?from=filter&spread=filtersearch_p&position=60&kwtype=filter&now_time=1550802593,52m²
60,绿地国际博览城博睿  新建-九龙湖新区-九龙大道1177号,13830元/m²,2015年建造,130,3室2厅,九龙湖中心，江景房，公园畔，近地铁，房东出国急售，直接10万,中层(共32层),https://nc.anjuke.com/prop/view/A1568066803?from=filter&spread=commsearch_p&position=61&kwtype=filter&now_time=1550802594,94m²
61,绿地国际博览城君珑  新建-九龙湖新区-九龙大道1177号,16514元/m²,2014年建造,180,3室2厅,温馨舒适家装 紧靠西客站 家门口的学校地铁 房东置换别墅急售,中层(共32层),https://nc.anjuke.com/prop/view/A1547303386?from=filter&spread=commsearch_p&position=62&kwtype=filter&now_time=1550802594,109m²
62,华润凯旋门  新建-九龙湖新区-西站东街,14630元/m²,2016年建造,158,3室2厅,寻找诚意有缘人！随时看房 真实在售，华润通透三房两卫 采光好,中层(共32层),https://nc.anjuke.com/prop/view/A1572411933?from=filter&spread=commsearch_p&position=63&kwtype=filter&now_time=1550802594,108m²
63,绿地国际博览城博浩  新建-九龙湖新区-九龙大道1177号,14207元/m²,2015年建造,180,3室2厅,绿地二期 紧靠地铁口 未来提升空间巨大 能看九龙湖！,高层(共32层),https://nc.anjuke.com/prop/view/A1534803225?from=filter&spread=commsearch_p&position=64&kwtype=filter&now_time=1550802594,126m²
64,绿地国际博览城卧珑  新建-九龙湖新区-九龙大道1177号,14737元/m²,2015年建造,140,3室2厅,绿地一期楼下育新小学 房东资金周转急急急急急出售 看上就卖！,低层(共32层),https://nc.anjuke.com/prop/view/A1540645916?from=filter&spread=commsearch_p&position=65&kwtype=filter&now_time=1550802594,95m²
65,绿地国际博览城  新建-九龙湖新区-九龙大道1177号,13890元/m²,2015年建造,155,3室2厅,绿地国博通透三房，二号地铁口，育新学校，视野开阔，环境优美,高层(共32层),https://nc.anjuke.com/prop/view/A1579992218?from=filter&spread=commsearch_p&position=66&kwtype=filter&now_time=1550802594,111m²
66,绿地国际博览城藏珑  新建-九龙湖新区-九龙大道1177号,16545元/m²,2015年建造,182,3室2厅,绿地国际博览城通透三房地铁口全天都有太阳旁边就是公园带车位,高层(共32层),https://nc.anjuke.com/prop/view/A1587103582?from=filter&spread=commsearch_p&position=67&kwtype=filter&now_time=1550802594,110m²
67,九龙湖花园一区  新建-九龙湖新区-祥云大道,15992元/m²,2016年建造,192,3室2厅,二手好房为您而选，好房源那么多，我为你精挑，通过沟通为您选房,中层(共32层),https://nc.anjuke.com/prop/view/A1561688657?from=filter&spread=commsearch_p&position=68&kwtype=filter&now_time=1550802594,120m²
68,绿地国际博览城博浩  新建-九龙湖新区-九龙大道1177号,13789元/m²,2015年建造,131,3室2厅,诚心出售！绿地国际博览城二期三房  近地铁  看中价格好谈,中层(共32层),https://nc.anjuke.com/prop/view/A1586452068?from=filter&spread=commsearch_p&position=69&kwtype=filter&now_time=1550802594,95m²
69,华润凯旋门  新建-九龙湖新区-西站东街,15000元/m²,2016年建造,108,2室2厅,九龙湖 地铁口实用2居室 省政府西客站省妇保旁 有钥匙可看房,中层(共32层),https://nc.anjuke.com/prop/view/A1568459141?from=filter&spread=commsearch_p&position=70&kwtype=filter&now_time=1550802594,72m²
70,绿地国际博览城卧珑  新建-九龙湖新区-九龙大道1177号,13895元/m²,2014年建造,132,3室2厅,绿地国际博览城卧珑 小三房 中上楼层 视野无挡 楼下是地铁口,高层(共32层),https://nc.anjuke.com/prop/view/A1587521361?from=filter&spread=commsearch_p&position=71&kwtype=filter&now_time=1550802594,95m²
71,绿地国际博览城卧珑  新建-九龙湖新区-九龙大道1177号,17000元/m²,2015年建造,186,3室2厅,为您找到满意的家，国博城地铁口旁高层东端户通透三房,高层(共32层),https://nc.anjuke.com/prop/view/A1513455635?from=filter&spread=commsearch_p&position=72&kwtype=filter&now_time=1550802594,109m²
72,绿地国际博览城博睿  新建-九龙湖新区-九龙大道1177号,14397元/m²,2015年建造,167,3室2厅,绿地国际博览城三房毛胚 全天阳光 近江空气好 周边配套全面,低层(共32层),https://nc.anjuke.com/prop/view/A1546774335?from=filter&spread=commsearch_p&position=73&kwtype=filter&now_time=1550802594,116m²
73,绿地国际博览城博君  新建-九龙湖新区-九龙大道1177号,14211元/m²,2015年建造,135,3室1厅,保真 房 绿地国际博览城二期博君 江景 地铁口 方正三房,高层(共32层),https://nc.anjuke.com/prop/view/A1570419064?from=filter&spread=commsearch_p&position=74&kwtype=filter&now_time=1550802594,95m²
74,新宇盛世广场  新建-九龙湖新区-西站大街1888号,10800元/m²,2018年建造,54,1室1厅,九龙湖西客站 地铁口旁 铂涛旗下酒店式包租包管两房零月供公寓,中层(共24层),https://nc.anjuke.com/prop/view/A1585146432?from=filter&spread=commsearch_p&position=75&kwtype=filter&now_time=1550802594,50m²
75,华润凯旋门  新建-九龙湖新区-西站东街,15139元/m²,2016年建造,109,2室2厅,诚意急售！精致2房九龙湖 西站旁 华润凯旋门 2号线地铁口,低层(共32层),https://nc.anjuke.com/prop/view/A1554826525?from=filter&spread=commsearch_p&position=76&kwtype=filter&now_time=1550802594,72m²
76,绿地国际博览城藏珑  新建-九龙湖新区-九龙大道1177号,15016元/m²,2015年建造,143,3室2厅,博览城一期通透3房出售， 地铁口 产证在手 育新二中九年制,低层(共32层),https://nc.anjuke.com/prop/view/A1583735408?from=filter&spread=commsearch_p&position=77&kwtype=filter&now_time=1550802594,95m²
77,华润凯旋门  新建-九龙湖新区-西站东街,14633元/m²,2015年建造,129.5,3室2厅,急售！华润凯旋门房东急需置换 楼层好 采光无挡 主要价格降了,高层(共30层),https://nc.anjuke.com/prop/view/A1586451040?from=filter&spread=commsearch_p&position=78&kwtype=filter&now_time=1550802594,88m²
78,绿地国际博览城藏珑  新建-九龙湖新区-九龙大道1177号,14400元/m²,2015年建造,180,3室2厅,急抛急抛.跳楼价急抛，房东诚心出售，就看您能否看中 看中可谈,中层(共32层),https://nc.anjuke.com/prop/view/A1584234976?from=filter&spread=commsearch_p&position=79&kwtype=filter&now_time=1550802594,125m²
79,绿地国际博览城  新建-九龙湖新区-九龙大道1177号,14557元/m²,2015年建造,158,3室2厅,房东新房已经定好 现低于市场价20万 急售 好房源 不容错过,高层(共30层),https://nc.anjuke.com/prop/view/A1579587704?from=filter&spread=commsearch_p&position=80&kwtype=filter&now_time=1550802594,108m²
80,绿地国际博览城博睿  新建-九龙湖新区-九龙大道1177号,13632元/m²,2015年建造,129.5,3室2厅,过年急售！绿地国际博览城三房  看房随时 看中价格可谈,高层(共32层),https://nc.anjuke.com/prop/view/A1586451132?from=filter&spread=commsearch_p&position=81&kwtype=filter&now_time=1550802594,95m²
81,绿地国际博览城御珑  新建-九龙湖新区-九龙大道1177号,15625元/m²,2014年建造,150,3室2厅,国博城刚需小三房 精装修 只卖毛胚价格  房东诚心急售,中层(共26层),https://nc.anjuke.com/prop/view/A1582283521?from=filter&spread=commsearch_p&position=82&kwtype=filter&now_time=1550802594,96m²
82,绿地国际博览城君珑  新建-九龙湖新区-九龙大道1177号,14545元/m²,2015年建造,160,3室2厅,国博一期 万达旁 交通厅旁 地铁口 育新学校 三甲医院！,中层(共32层),https://nc.anjuke.com/prop/view/A1568592782?from=filter&spread=commsearch_p&position=83&kwtype=filter&now_time=1550802594,110m²
83,明园九龙湾  新建-九龙湖新区-国体大道,19658元/m²,2016年建造,278,3室2厅,九龙湖核心区域配套完善带学位地铁口产证在手值得拥有,低层(共32层),https://nc.anjuke.com/prop/view/A1516955320?from=filter&spread=commsearch_p&position=84&kwtype=filter&now_time=1550802594,141m²
84,华润凯旋门  新建-九龙湖新区-西站东街,15909元/m²,2015年建造,140,3室2厅,华润凯旋门小高层南北通透3房低总价140万 视野无敌,低层(共11层),https://nc.anjuke.com/prop/view/A1528894399?from=filter&spread=commsearch_p&position=85&kwtype=filter&now_time=1550802594,88m²
85,"新力东园  新建-九龙湖新区-龙虎山大道,近上饶大道",15182元/m²,2018年建造,167,3室2厅,新力东园 西客站 年初特惠房 好楼层省更多 九龙湖豪宅,低层(共31层),https://nc.anjuke.com/prop/view/A1563024957?from=filter&spread=commsearch_p&position=86&kwtype=filter&now_time=1550802594,110m²
86,华润凯旋门  新建-九龙湖新区-西站东街,15213元/m²,2015年建造,135,3室2厅,九龙湖西站旁 房东低 价出售 得房率超高 位置极好,低层(共11层),https://nc.anjuke.com/prop/view/A1547310141?from=filter&spread=commsearch_p&position=87&kwtype=filter&now_time=1550802594,88m²
87,绿地国际博览城博浩  新建-九龙湖新区-九龙大道1177号,14839元/m²,2014年建造,138,3室2厅,绿地国际博览城 刚需小三房 视野开阔 环境优美 读南昌二中,中层(共30层),https://nc.anjuke.com/prop/view/A1587519461?from=filter&spread=commsearch_p&position=88&kwtype=filter&now_time=1550802594,93m²
88,绿地国际博览城君珑  新建-九龙湖新区-九龙大道1177号,15455元/m²,2015年建造,170,3室2厅,地铁二号线口 绿地国际博览城一期通透三房 端户 房东急售,高层(共32层),https://nc.anjuke.com/prop/view/A1581461323?from=filter&spread=commsearch_p&position=89&kwtype=filter&now_time=1550802594,110m²
